company_id,canonical_company_name,Executive Finance,Head of Finance,Financial Management,Financial Control,Finance Business Partner,FP&A,Group Accounting,Financial Accounting,Management/Cost Accounting,Commercial Finance,Treasury/Tax,Project/Asset Finance,Systems/Transformation,overall_status,notes
cmp-0086,Helderberg Village,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,0/13 families; NO_VERIFIED_PEOPLE_YET_GAP_LOGGED,Level 2 - Strong
cmp-0087,Isilumko ATT (Pty) Ltd,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,0/13 families; NO_VERIFIED_PEOPLE_YET_GAP_LOGGED,Level 2 - Strong
cmp-0088,REFSOLS - Refrigeration Solutions & Fridgetec Services,NOT FOUND YET,NOT FOUND YET,Ryan Coldman (Financial Manager),NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,1/13 families; MAPPED_1_PEOPLE,Level 1 - Very Strong (product) / location unverified
cmp-0089,Radisson Hotel Group - Africa managed portfolio,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,Anene Engelbrecht (Financial Controller),NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,1/13 families; MAPPED_1_PEOPLE,Level 1 - Very Strong
cmp-0090,ADT South Africa (ADT Security Services (Pty) Ltd),NOT FOUND YET,NOT FOUND YET,Carel Smit (General Manager Finance),NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,1/13 families; MAPPED_1_PEOPLE,Level 1 - Very Strong (product) / date unknown
cmp-0091,Kentz Group (South African headquarters),NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,0/13 families; NO_VERIFIED_PEOPLE_YET_GAP_LOGGED,Level 1 - Very Strong (product) / date unknown
cmp-0092,Roymec Technologies (Pty) Ltd,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,0/13 families; NO_VERIFIED_PEOPLE_YET_GAP_LOGGED,Level 1 - Very Strong (product) / date unknown
cmp-0093,Electron Technologies (Electron Engineering Supply),NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,0/13 families; NO_VERIFIED_PEOPLE_YET_GAP_LOGGED,Level 1 - Very Strong (product) / date unknown
cmp-0094,Samsonite South Africa,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,Donovan Humphreys (Finance Controller),NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,1/13 families; MAPPED_1_PEOPLE,Level 1 - Very Strong (product) / date unknown
cmp-0095,Educor (Pty) Ltd - Educor Group,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,0/13 families; NO_VERIFIED_PEOPLE_YET_GAP_LOGGED,Level 1 - Very Strong
cmp-0096,ENRC Africa (African operations of ENRC plc),NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,0/13 families; NO_VERIFIED_PEOPLE_YET_GAP_LOGGED,Level 2 - Strong
cmp-0097,Workforce Holdings Ltd (subsequently People Power Solutions),Willie van Wyk (Group Financial Director),NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,1/13 families; MAPPED_1_PEOPLE,Level 2 - Strong
cmp-0098,Inala Broadcast (Pty) Ltd,NOT FOUND YET,NOT FOUND YET,Anneline Smit (Financial Operations Manager / Financial Controller),NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,1/13 families; MAPPED_1_PEOPLE,Level 1 - Very Strong (as a migration record)
cmp-0099,South African Qualifications Authority (SAQA),Innocent Gumbochuma (Chief Financial Officer),NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,1/13 families; MAPPED_1_PEOPLE,Level 1 - Very Strong
cmp-0100,Trans-Caledon Tunnel Authority (TCTA),Andisa Zinja (Chief Financial Officer),NOT FOUND YET,NOT FOUND YET,Wendy Nkambule (Financial Controller),NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,2/13 families; MAPPED_2_PEOPLE,Level 1 - Very Strong
cmp-0101,Water Research Commission (WRC),Fazel Ismail (Chief Financial Officer),NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,1/13 families; MAPPED_1_PEOPLE,Level 1 - Very Strong
cmp-0102,The Competition Tribunal,Sherylee Moonsamy (Chief Financial Officer),NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,1/13 families; MAPPED_1_PEOPLE,Level 2 - Strong (ambiguous product term)
cmp-0103,National Agricultural Marketing Council (NAMC),Lebogang Dire (Chief Financial Officer),NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,1/13 families; MAPPED_1_PEOPLE,Level 2 - Strong
cmp-0104,Hisense Operations Africa (Hisense SA),NOT FOUND YET,Phakama Mgole (Head of Finance),NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,1/13 families; MAPPED_1_PEOPLE,Excluded - not a Sage 300 ERP match
cmp-0105,Premier Foods / Premier FMCG (Kerry Group Africa),Fritz Grobbelaar (Chief Financial Officer),NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,1/13 families; MAPPED_1_PEOPLE,Excluded - not a Sage 300 ERP match
cmp-0106,Cape Town International Convention Centre (CTICC) / Cape Town Town Conventions,Wayne de Wet (Chief Financial Officer),NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,1/13 families; MAPPED_1_PEOPLE,Excluded - not a Sage 300 ERP match
cmp-0107,Swift Holdings Group (Swift Staffing Services),NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,0/13 families; NO_VERIFIED_PEOPLE_YET_GAP_LOGGED,Level 4 - Possible (must not be counted)
cmp-0108,Buffalo City Metropolitan Development Agency (BCMDA),NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,0/13 families; NO_VERIFIED_PEOPLE_YET_GAP_LOGGED,Excluded - not a Sage 300 ERP match
cmp-0109,"National Department of Agriculture, Land Reform and Rural Development (NDA)",NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,0/13 families; NO_VERIFIED_PEOPLE_YET_GAP_LOGGED,Excluded - not a Sage 300 ERP match
cmp-0110,South African Human Rights Commission (SAHRC),NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,0/13 families; NO_VERIFIED_PEOPLE_YET_GAP_LOGGED,Excluded - not a Sage 300 ERP match
cmp-0111,Tshikululu Social Investments (Pty) Ltd,NOT FOUND YET,NOT FOUND YET,Saleh Coovadia (Finance Manager),NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,1/13 families; MAPPED_1_PEOPLE,Level 1 - Very Strong
cmp-0112,Retail Capital,NOT FOUND YET,Alex Appleby (Head of Treasury),NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,1/13 families; MAPPED_1_PEOPLE,Level 1 - Very Strong (as a migration record)
cmp-0113,M-KOPA Solar,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,0/13 families; NO_VERIFIED_PEOPLE_YET_GAP_LOGGED,Level 2 - note only (out of geographic scope)
