company_id,canonical_company_name,trading_name,parent_group,subsidiary_of,known_aliases,company_linkedin_url,website,country,province,city_or_sites,industry_family,sub_industry,business_description,company_status,sage300_status,evidence_urls,verification_status,research_status
cmp-0086,Helderberg Village,Helderberg Village,,,Helderberg Village retirement lifestyle estate,,,South Africa,Western Cape,"63 Bakkerskloof Road, Somerset West",Healthcare / Aged Care,Retirement village / assisted living,Retirement village / assisted living,publicly_known_operating,Level 2 - Strong,https://www.awcape.co.za/agriculture-industry/ | https://www.awcape.co.za/ | https://www.awcape.co.za/sage-intacct/ | https://www.facebook.com/HelderbergLifestlyeVillage/,COMPANY_RECORD_PRESENT,NO_VERIFIED_PEOPLE_YET
cmp-0087,Isilumko ATT (Pty) Ltd,Isilumko ATT,,,Isilumko (Pty) Ltd / Isilumko ATT,,,South Africa,Western Cape,Cape Town (suburb to confirm),Technology,"IT services and BPO (applicant tracking, payroll outsourcing)","IT services and BPO (applicant tracking, payroll outsourcing)",publicly_known_operating,Level 2 - Strong,https://www.awcape.co.za/ | https://www.awcape.co.za/logistics-industry/ | https://www.awcape.co.za/sage-300cloud/,COMPANY_RECORD_PRESENT,NO_VERIFIED_PEOPLE_YET
cmp-0088,REFSOLS - Refrigeration Solutions & Fridgetec Services,REFSOLS - Refrigeration Solutions & Fridgetec Services,,,REFSOLS group,,,South Africa,Western Cape (to confirm),"Not stated in source; industry sectors served: supermarket, fishing, petro-chemical, plastics, cosmetics, wine, confectionery",Engineering / Industrial,"Industrial refrigeration equipment, service and maintenance","Industrial refrigeration equipment, service and maintenance",publicly_known_operating,Level 1 - Very Strong (product) / location unverified,https://www.itweb.co.za/article/awcape-deploys-sage-300-erp-and-service-manager-for-refsols/nG98YdqLP8pqX2PD,COMPANY_AND_PEOPLE_VERIFIED,MAPPED_1_PEOPLE
cmp-0089,Radisson Hotel Group - Africa managed portfolio,Radisson Hotel Group - Africa managed portfolio,,,Radisson Hotel Group / Carlson Rezidor,,,South Africa,Pan-African (SA entity mapping outstanding),"Regional financial control covering Africa; SA properties incl. Radisson Blu Hotel Waterfront, Cape Town (unverified against this installation)",Hospitality,Hospitality - hotel management,Hospitality - hotel management,publicly_known_operating,Level 1 - Very Strong,https://www.itweb.co.za/article/am-consultancy-streamlines-radisson-hotel-group-accounting-with-peresoft-cashbook/kLgB17ezODgM59N4 | https://tydeco.com/software/sage-300cloud/ | https://peresoft.co.za/,COMPANY_RECORD_PRESENT,NO_VERIFIED_PEOPLE_YET
cmp-0090,ADT South Africa (ADT Security Services (Pty) Ltd),ADT South Africa,,,Subsidiary of Tyco International as described in source,,,South Africa,Gauteng (national footprint),"Sandton (head offices); regional data centres Johannesburg, Pretoria, Durban, Port Elizabeth, Cape Town",Security Services,Private security / armed response / monitoring,Private security / armed response / monitoring,publicly_known_operating,Level 1 - Very Strong (product) / date unknown,https://www.lorge.co.za/sage-300cloud/,COMPANY_RECORD_PRESENT,NO_VERIFIED_PEOPLE_YET
cmp-0091,Kentz Group (South African headquarters),Kentz Group,,,Kentz Cundill Engineering / Kentz International (later Ascent),,,South Africa,Gauteng,Midrand (SA HQ); 26 countries,Construction / Engineering,"Engineering, procurement and construction","Engineering, procurement and construction",publicly_known_operating,Level 1 - Very Strong (product) / date unknown,https://www.lorge.co.za/sage-300cloud/,COMPANY_RECORD_PRESENT,NO_VERIFIED_PEOPLE_YET
cmp-0092,Roymec Technologies (Pty) Ltd,Roymec Technologies,,,Roymec Technologies (Logic Group implementation),,,South Africa,Gauteng,"Woodmead, Sandton (HQ)",Mining / Engineering,Minerals-processing / process equipment engineering,Minerals-processing / process equipment engineering,publicly_known_operating,Level 1 - Very Strong (product) / date unknown,https://www.lorge.co.za/sage-300cloud/,COMPANY_RECORD_PRESENT,NO_VERIFIED_PEOPLE_YET
cmp-0093,Electron Technologies (Electron Engineering Supply),Electron Technologies,,,,,,South Africa,Gauteng,"Wynberg, Johannesburg (head office)",Engineering / Industrial,"Electrical equipment, switchboards, automation, solar","Electrical equipment, switchboards, automation, solar",publicly_known_operating,Level 1 - Very Strong (product) / date unknown,https://www.lorge.co.za/sage-300cloud/,COMPANY_RECORD_PRESENT,NO_VERIFIED_PEOPLE_YET
cmp-0094,Samsonite South Africa,Samsonite South Africa,,,Samsonite International SA,,,South Africa,KwaZulu-Natal,Durban (permanent South African office),Wholesale / Distribution,Luggage and travel goods - South African distribution,Luggage and travel goods - South African distribution,publicly_known_operating,Level 1 - Very Strong (product) / date unknown,https://www.lorge.co.za/sage-300cloud/,COMPANY_AND_PEOPLE_VERIFIED,MAPPED_1_PEOPLE
cmp-0095,Educor (Pty) Ltd - Educor Group,Educor,,,Educor Group (Adler REIT structure at time of source),,,South Africa,Gauteng,Midrand (group); campuses across Southern Africa incl. Cape Town / Northern Suburbs / Goodwood,Education,"Private higher education: Damelin, CityVarsity, ICESA, Lyceum College, INTEC College, Damelin Correspondence College, Central Technical College","Private higher education: Damelin, CityVarsity, ICESA, Lyceum College, INTEC College, Damelin Correspondence College, Central Technical College",publicly_known_operating,Level 1 - Very Strong,https://www.itweb.co.za/article/the-educor-group-migrates-to-sage-300c/RWnpNgq21DmMVrGd | https://www.itweb.co.za/article/ecowize-boosts-business-efficiency-by-migrating-to-sage-300/RWnpNgq26GDqVrGd,COMPANY_RECORD_PRESENT,NO_VERIFIED_PEOPLE_YET
cmp-0096,ENRC Africa (African operations of ENRC plc),ENRC Africa,,,ENRC plc (FTSE 100; later privatised),,,South Africa,Gauteng (SA operations),"South Africa (Johannesburg), DRC, Zambia, Mozambique",Mining,"Diversified natural resources - mining, processing, energy, logistics","Diversified natural resources - mining, processing, energy, logistics",publicly_known_operating,Level 2 - Strong,https://www.realisable.co.uk/case-studies/sage300-business-process-management-automation/ | https://www.realisable.co.uk/case-studies/,COMPANY_RECORD_PRESENT,NO_VERIFIED_PEOPLE_YET
cmp-0097,Workforce Holdings Ltd (subsequently People Power Solutions),Workforce Holdings Ltd,,,Workforce Holdings (JSE-listed at time of source),,,South Africa,Gauteng,Johannesburg,Professional Services,Human capital / staffing and HR outsourcing,Human capital / staffing and HR outsourcing,publicly_known_operating,Level 2 - Strong,https://www.realisable.co.uk/case-studies/ | https://www.realisable.co.uk/case-studies/sage300-business-process-management-automation/,COMPANY_AND_PEOPLE_VERIFIED,MAPPED_1_PEOPLE
cmp-0098,Inala Broadcast (Pty) Ltd,Inala Broadcast,,,Inala Broadcast,,,South Africa,Gauteng (to confirm),South Africa (Johannesburg area - to confirm),Media / Technology,Broadcast systems provision and integration,Broadcast systems provision and integration,publicly_known_operating,Level 1 - Very Strong (as a migration record),https://www.lorge.co.za/inala-broadcast-implements-sage-intacct-to-reduce-it-costs-and-enable-remote-collaboration/,COMPANY_AND_PEOPLE_VERIFIED,MAPPED_1_PEOPLE
cmp-0099,South African Qualifications Authority (SAQA),South African Qualifications Authority,,,"Public entity, Department of Higher Education and Training",,,South Africa,Gauteng,"SAQA House, 1067 Arcadia Street, Hatfield, Pretoria",Government,Quality council / NQF custodianship,Quality council / NQF custodianship,publicly_known_operating,Level 1 - Very Strong,https://saqa.org.za/procurement/rfqs-tenders/ | https://saqa.org.za/wp-content/uploads/2023/02/Bid-doocument-SAQA-0003-19-DFA.pdf | https://app.bidsstack.com/tender/details/33329 | https://easytenders.co.za/tenders/request-for-quotation-saqa-rfq-sage-300-erp-accpac-103229,COMPANY_AND_PEOPLE_VERIFIED,MAPPED_1_PEOPLE
cmp-0100,Trans-Caledon Tunnel Authority (TCTA),Trans-Caledon Tunnel Authority,,,National Department of Water and Sanitation (public entity),,,South Africa,Gauteng,Midrand (head office),Government / Infrastructure,Bulk water transfer and storage infrastructure,Bulk water transfer and storage infrastructure,publicly_known_operating,Level 1 - Very Strong,https://www.tenders-sa.org/sa-tenders/awarded/010-2026-ewss-licenses-rfq-appointment-of-a-service-provider-for-the-provision-of-sage-300-finance-a-cmsar5nan01u2knun0yl806bg,COMPANY_AND_PEOPLE_VERIFIED,MAPPED_2_PEOPLE
cmp-0101,Water Research Commission (WRC),Water Research Commission,,,Public entity (DHEST),,,South Africa,Gauteng,"Queenwood, Pretoria 0083",Government / Infrastructure,Water research,Water research,publicly_known_operating,Level 1 - Very Strong,https://www.tenders-sa.org/sa-tenders/awarded/010-2026-ewss-licenses-rfq-appointment-of-a-service-provider-for-the-provision-of-sage-300-finance-a-cmsar5nan01u2knun0yl806bg (award history),COMPANY_AND_PEOPLE_VERIFIED,MAPPED_1_PEOPLE
cmp-0102,The Competition Tribunal,The Competition Tribunal,,,Public entity (Department of Justice and Constitutional Development),,,South Africa,Gauteng,Johannesburg (Melville) - to confirm,Government,Competition-law adjudicative tribunal,Competition-law adjudicative tribunal,publicly_known_operating,Level 2 - Strong (ambiguous product term),https://tenderalerts.co.za/issuer/competition-tribunal,COMPANY_AND_PEOPLE_VERIFIED,MAPPED_1_PEOPLE
cmp-0103,National Agricultural Marketing Council (NAMC),National Agricultural Marketing Council,,,Public entity (DALRRD),,,South Africa,Gauteng,Pretoria,Government / Agriculture,Agricultural market development / MLDC framework,Agricultural market development / MLDC framework,publicly_known_operating,Level 2 - Strong,https://za.indeed.com/q-sage-300-jobs.html,COMPANY_AND_PEOPLE_VERIFIED,MAPPED_1_PEOPLE
cmp-0104,Hisense Operations Africa (Hisense SA),Hisense Operations Africa,,,Hisense,,,South Africa,Western Cape (to confirm),South Africa (Cape Town area per partner client base - unconfirmed),Manufacturing,Consumer electronics and appliances manufacturing/distribution,Consumer electronics and appliances manufacturing/distribution,publicly_known_operating,Excluded - not a Sage 300 ERP match,https://tydeco.com/success_story/hisense-sa-powers-payroll-with-sage/,COMPANY_AND_PEOPLE_VERIFIED,MAPPED_1_PEOPLE
cmp-0105,Premier Foods / Premier FMCG (Kerry Group Africa),Premier Foods / Premier FMCG,,,Kerry Group,,,South Africa,Gauteng,"Bryanston, Johannesburg",Manufacturing,FMCG food manufacturing and distribution,FMCG food manufacturing and distribution,publicly_known_operating,Excluded - not a Sage 300 ERP match,https://www.awcape.co.za/,COMPANY_AND_PEOPLE_VERIFIED,MAPPED_1_PEOPLE
cmp-0106,Cape Town International Convention Centre (CTICC) / Cape Town Town Conventions,Cape Town International Convention Centre,,,City of Cape Town entity,,,South Africa,Western Cape,"Western Boulevard, Foreshore, Cape Town",Hospitality / Venues,"Convention, exhibition and event venue","Convention, exhibition and event venue",publicly_known_operating,Excluded - not a Sage 300 ERP match,https://www.awcape.co.za/customised-payroll-training/ | https://www.awcape.co.za/logistics-industry/,COMPANY_AND_PEOPLE_VERIFIED,MAPPED_1_PEOPLE
cmp-0107,Swift Holdings Group (Swift Staffing Services),Swift Holdings Group,,,Swift Holdings,,,South Africa,Western Cape,Cape Town (head office),Professional Services,"Outsourced temporary staffing, payroll and skills development","Outsourced temporary staffing, payroll and skills development",publicly_known_operating,Level 4 - Possible (must not be counted),https://www.itweb.co.za/article/sage-300-people-positions-swift-group-for-growth/KzQenqj8XYR7Zd2r | https://www.awcape.co.za/sage-300cloud/,COMPANY_RECORD_PRESENT,WEAK_EVIDENCE_STILL_MAP
cmp-0108,Buffalo City Metropolitan Development Agency (BCMDA),Buffalo City Metropolitan Development Agency,,,Reports to Buffalo City Metropolitan Municipality,,,South Africa,Eastern Cape,"12 Esplade Road, Quigney, East London",Government,Regional development agency,Regional development agency,publicly_known_operating,Excluded - not a Sage 300 ERP match,https://bcmda.org.za/wp-content/uploads/2022/02/TENDER-DOCUMENT-OF-BID-3-OF-2022_SUPPORT-AND-MAINTENANCE-OF-SAGE-EVOLUTION-SAGE-300-PEOPLE-FOR-5-YEARS.pdf,COMPANY_RECORD_PRESENT,OUT_OF_PRIMARY_SCOPE_NOTED
cmp-0109,"National Department of Agriculture, Land Reform and Rural Development (NDA)","National Department of Agriculture, Land Reform and Rural Development",,,National government department,,,South Africa,Gauteng,Pretoria,Government / Agriculture,Agriculture,Agriculture,publicly_known_operating,Excluded - not a Sage 300 ERP match,https://www.nda.org.za/assets/tenders/TERMSOFREFERENCES-SAGE300NDA04-CS03.pdf,COMPANY_RECORD_PRESENT,OUT_OF_PRIMARY_SCOPE_NOTED
cmp-0110,South African Human Rights Commission (SAHRC),South African Human Rights Commission,,,Chapter 9 public institution,,,South Africa,Gauteng,Pretoria,Government,Human rights,Human rights,publicly_known_operating,Excluded - not a Sage 300 ERP match,https://www.etenders.gov.za/home/Download?blobName=d6de8e20-c855-47f6-a43b-4a467920bbae.pdf&downloadedFileName=RFP-HO-03-2025+-+Sage+Support+and+Maintenance.pdf | https://www.sahrc.org.za/home/21/files/RFP-HO-03-2025%20Sage%20Support%20and%20Maintenance.pdf,COMPANY_RECORD_PRESENT,OUT_OF_PRIMARY_SCOPE_NOTED
cmp-0111,Tshikululu Social Investments (Pty) Ltd,Tshikululu Social Investments,,,Tshikululu Group / Tshikululu Social Investments,,,South Africa,Gauteng,Johannesburg,Non-Profit / Financial Services,Social investment fund management and advisory (non-profit intermediary),Social investment fund management and advisory (non-profit intermediary),publicly_known_operating,Level 1 - Very Strong,https://www.itweb.co.za/content/KzQenqjyy2JMZd2r | https://www.lorge.co.za/tshikululu-social-investments-profits-from-automation,COMPANY_AND_PEOPLE_VERIFIED,MAPPED_1_PEOPLE
cmp-0112,Retail Capital,Retail Capital,,,Retail Capital Ltd,,,South Africa,Western Cape,Cape Town,Financial Services,SME funding / alternative lending,SME funding / alternative lending,publicly_known_operating,Level 1 - Very Strong (as a migration record),https://www.itweb.co.za/article/sage-intacct-for-retail-capital/8OKdWMDYb2eqbznQ | https://tydeco.com/success_story/retail-capital-chooses-sage-intacct/,COMPANY_RECORD_PRESENT,NO_VERIFIED_PEOPLE_YET
cmp-0113,M-KOPA Solar,M-KOPA Solar,,,M-KOPA Solar Ltd,,,Kenya,Outside South Africa (Kenya; Sage Africa & Middle East channel),"Nairobi, Kenya",Energy / Fintech,Pay-as-you-go solar / consumer fintech,Pay-as-you-go solar / consumer fintech,publicly_known_operating,Level 2 - note only (out of geographic scope),https://www.itweb.co.za/article/awcape-deploys-sage-300-erp-and-service-manager-for-refsols/nG98YdqLP8pqX2PD (link),COMPANY_RECORD_PRESENT,OUT_OF_PRIMARY_SCOPE_NOTED
