id,name,linkedin_url,location,company,title,seniority,function,segment,specialism,category,evidence,source_url,fit_score,confidence,notes
"CRSA-011","Samantha Smith","https://za.linkedin.com/in/samantha-smith-6626b8aa","City of Cape Town, Western Cape, South Africa","Woolworths Financial Services","Credit Risk Analyst","Analyst","Credit Risk","Retail credit","Retail credit risk","Analyst","Indexed LinkedIn result states Credit Risk Analyst at Woolworths Financial Services.","https://za.linkedin.com/in/samantha-smith-6626b8aa","9","High",""
"CRSA-012","Hendrik Ehlers, CFA","https://za.linkedin.com/in/hendrik-ehlers-cfa-b1840984","Johannesburg Metropolitan Area, South Africa","Absa Group","Senior Credit Risk Analyst","Senior Analyst","Credit Risk","Bank","Banking credit risk","Analyst","Indexed LinkedIn result states Senior Credit Risk Analyst at Absa Group.","https://za.linkedin.com/in/hendrik-ehlers-cfa-b1840984","9","High",""
"CRSA-013","Trishanta Srikissoon","https://za.linkedin.com/in/trishanta-srikissoon-aa234463","Johannesburg, Gauteng, South Africa","Absa Group","Manager - Data Analytics / Credit Scorecard Development","Manager","Credit Analytics; Scorecards; Credit Policy","Bank","Scorecard development; cut-offs; credit policy rules; impairment forecasting","Manager","Indexed LinkedIn result states Absa Credit Risk Analyst history, scorecard cut-offs, credit policy rules and manager credit scorecard development.","https://za.linkedin.com/in/trishanta-srikissoon-aa234463","9","High",""
"CRSA-014","Liran B.","https://za.linkedin.com/in/liran-b-08680224","South Africa","KPMG","Partner","Executive","Credit Risk; IFRS 9 / Impairments","Consulting","IFRS 9 ECL, PD, LGD, EAD, macroeconomic models","Head","Indexed LinkedIn result states KPMG Partner with credit risk and IFRS 9 model builds/reviews.","https://za.linkedin.com/in/liran-b-08680224","8","High",""
"CRSA-015","Gugulethu Mdluli","https://za.linkedin.com/in/gugulethu-mdluli-9a6b4b38","South Africa","National Housing Finance Corporation","Credit Risk Analyst - Origination and Structuring","Analyst","Credit Risk; Mortgage Risk","Home loans / development finance","Origination and structuring credit risk","Analyst","Indexed LinkedIn result states Credit Risk Analyst - Origination and Structuring at NHFC.","https://za.linkedin.com/in/gugulethu-mdluli-9a6b4b38","8","High",""
"CRSA-016","Thato Sejanamane","https://za.linkedin.com/in/thato-sejanamane-16b5bb91","South Africa","Absa Group","Senior Credit Analyst / Credit Risk Specialist","Senior Analyst","Credit Risk; Credit Analysis","Bank","Banking credit risk","Analyst","Indexed LinkedIn result states Senior Credit Analyst / Credit Risk Specialist at Absa Group.","https://za.linkedin.com/in/thato-sejanamane-16b5bb91","8","High",""
"CRSA-017","Sinethemba Nongqoto","https://za.linkedin.com/in/sinethemba-nongqoto","South Africa","Standard Bank Group","Senior Credit Risk Data Scientist","Senior Analyst","Credit Risk; Data Science; Scorecards","Bank","Scorecard development and monitoring","Analyst","Indexed LinkedIn result states Senior Credit Risk Data Scientist at Standard Bank Group with scorecard development and monitoring.","https://za.linkedin.com/in/sinethemba-nongqoto","9","High",""
"CRSA-018","Sduduzo Shandu","https://za.linkedin.com/in/sduduzo-shandu","South Africa","Needs verification","Credit Risk & Financial Risk Analyst","Analyst","Credit Risk; IFRS 9 / Impairments; SME Credit","Financial services","IFRS 9, SAS, PD, SME lending, portfolio risk","Analyst","Indexed LinkedIn result states Credit Risk & Financial Risk Analyst with IFRS 9, SAS and PD.","https://za.linkedin.com/in/sduduzo-shandu","8","Medium","Current employer requires manual verification."
"CRSA-019","Lee Martin","https://za.linkedin.com/in/lee-martin-23960012b","City of Cape Town, Western Cape, South Africa","Yara Southern Africa","Credit Risk Analyst","Analyst","Credit Risk","Corporate credit / trade credit","Corporate credit risk","Analyst","Indexed LinkedIn result states Credit Risk Analyst at Yara Southern Africa.","https://za.linkedin.com/in/lee-martin-23960012b","7","High",""
"CRSA-020","Nthabiseng Mashamba","https://za.linkedin.com/in/nthabiseng-mashamba-861a5b31","City of Johannesburg, Gauteng, South Africa","Absa Group","Senior Credit Risk Analyst - Regulatory Reporting","Senior Analyst","Credit Risk; Basel / Regulatory Credit Risk","Bank","Regulatory credit risk reporting","Analyst","Indexed LinkedIn result states Senior Credit Risk Analyst Regulatory reporting at Absa Group.","https://za.linkedin.com/in/nthabiseng-mashamba-861a5b31","9","High",""
"CRSA-021","Lesego Moroke","https://za.linkedin.com/in/lesego-moroke-752ba756","South Africa","African Bank","Credit Risk Analytics","Analyst","Credit Risk; Credit Analytics; Scorecards","Bank / unsecured lender","Scorecard data preparation, implementation and monitoring","Analyst","Indexed LinkedIn result states Credit Risk Analytics and scorecard data preparation/implementation/monitoring.","https://za.linkedin.com/in/lesego-moroke-752ba756","8","High",""
"CRSA-022","Koos Smit","https://za.linkedin.com/in/koossmit","South Africa","Experian / Credit Risk & Finance Professional","Credit Risk & Finance Professional","Manager","Credit Risk; IFRS 9 / Impairments; Provisioning","Credit bureau / analytics vendor","IFRS 9 credit risk models; provisioning; PD modelling","Manager","Indexed LinkedIn result states credit risk analyst history, IFRS 9 credit risk model delivery and Experian experience.","https://za.linkedin.com/in/koossmit","8","High",""
"CRSA-023","Brandon Michaels","https://za.linkedin.com/in/brandon-michaels-429357181","South Africa","Murex / Standard Bank South Africa","Credit Risk Analyst / Murex Analyst","Analyst","Credit Risk; Risk Systems","Risk software / bank","Murex credit risk systems","Analyst","Indexed LinkedIn result states Credit Risk Analyst at Murex and Standard Bank Murex Analyst.","https://za.linkedin.com/in/brandon-michaels-429357181","7","Medium",""
"CRSA-024","Muzzaffar Alam Ali","https://za.linkedin.com/in/muzzaffar-alam-ali-3b1952b0","South Africa","HBZ Bank Limited South Africa","Senior Credit Risk Analyst","Senior Analyst","Credit Risk","Bank","Banking credit risk","Analyst","Indexed LinkedIn result states Senior Credit Risk Analyst at HBZ Bank Limited South Africa.","https://za.linkedin.com/in/muzzaffar-alam-ali-3b1952b0","8","High",""
"CRSA-025","Johannes G. du Preez","https://za.linkedin.com/in/jgdupreez","Cape Town, Western Cape, South Africa","Woolworths Financial Services","Senior Credit Risk Analyst","Senior Analyst","Credit Risk","Retail credit","Retail credit risk","Analyst","Indexed LinkedIn result states Senior Credit Risk Analyst at Woolworths Financial Services.","https://za.linkedin.com/in/jgdupreez","9","High",""
"CRSA-026","Chiraag Daya","https://za.linkedin.com/in/chiraag-daya-b0300948","City of Johannesburg, Gauteng, South Africa","Analytix Engine","Head of Credit Risk Modelling & Validation: Africa","Head","Credit Risk Modelling; Model Validation","Analytics vendor / consulting","Credit risk modelling and validation","Head","Indexed LinkedIn result states Head of Credit Risk Modelling & Validation: Africa at Analytix Engine.","https://za.linkedin.com/in/chiraag-daya-b0300948","9","High",""
"CRSA-027","Manuel M.","https://za.linkedin.com/in/manuel-m-b61390b5","South Africa","FNB South Africa","Data Scientist | Credit Risk Collections Strategy","Senior Analyst","Credit Risk; Collections Strategy; Data Science","Bank","Collections strategy; retail credit analytics; acquisition analytics","Analyst","Indexed LinkedIn result states Data Scientist with Credit Risk Collections Strategy and FNB South Africa.","https://za.linkedin.com/in/manuel-m-b61390b5","9","High",""
"CRSA-028","Paula van der Schyff","https://za.linkedin.com/in/paula-van-der-schyff-195ba951","Cape Town, Western Cape, South Africa","RCS","Senior Credit Risk Analyst","Senior Analyst","Credit Risk; Affordability","Retail credit","Affordability models; retail credit risk","Analyst","Indexed LinkedIn result states Senior Credit Risk Analyst at RCS and affordability models.","https://za.linkedin.com/in/paula-van-der-schyff-195ba951","9","High",""
"CRSA-029","Mpho Matona","https://za.linkedin.com/in/mpho-matona-46894a45","City of Johannesburg, Gauteng, South Africa","Standard Bank Group","Credit Risk Analyst","Analyst","Credit Risk; Scorecards","Bank","Scorecard monitoring for cheque accounts, student loans and personal loans","Analyst","Indexed LinkedIn result states Credit Risk Analyst at Standard Bank and scorecard monitoring.","https://za.linkedin.com/in/mpho-matona-46894a45","9","High",""
"CRSA-030","Hannes Bezuidenhout","https://za.linkedin.com/in/hannes-bezuidenhout-04a543101","South Africa","KPMG South Africa","Senior Manager in Credit Risk","Senior Manager","Credit Risk; IFRS 9 / Impairments; Model Validation","Consulting","Credit risk and impairment modelling; IFRS 9; model validation","Manager","Indexed LinkedIn result states Senior Manager in Credit Risk at KPMG South Africa.","https://za.linkedin.com/in/hannes-bezuidenhout-04a543101","9","High",""
"CRSA-031","Lynn Varathan","https://za.linkedin.com/in/lynn-varathan-a19baba6","City of Johannesburg, Gauteng, South Africa","Sasol Energy","Credit Risk Analyst","Analyst","Credit Risk","Corporate credit / energy","Corporate credit risk","Analyst","Indexed LinkedIn result states Credit Risk Analyst at Sasol Energy.","https://za.linkedin.com/in/lynn-varathan-a19baba6","7","High",""
"CRSA-032","Marc Chadwick","https://za.linkedin.com/in/marc-chadwick-za","South Africa","Needs verification","Credit Risk & Analytics Specialist","Senior Analyst","Credit Risk; Credit Analytics; Decisioning","Analytics / credit decisioning","System-based credit analytics; data-driven credit assessments","Analyst","Indexed LinkedIn result states Credit Risk & Analytics Specialist and system-based credit analytics.","https://za.linkedin.com/in/marc-chadwick-za","8","Medium",""
"CRSA-033","Theunis Jansen van Rensburg","https://za.linkedin.com/in/theunis-jansen-van-rensburg-4583a421","City of Cape Town, Western Cape, South Africa","Principa","Lead: Credit Risk Analytics","Lead / Team Lead","Credit Risk; Credit Analytics; Data Science","Analytics vendor / consulting","Credit risk analytics; data science; lending analytics","Lead","Indexed LinkedIn result states Lead: Credit Risk Analytics at Principa.","https://za.linkedin.com/in/theunis-jansen-van-rensburg-4583a421","9","High",""
"CRSA-034","Kgopotso Selibi","https://za.linkedin.com/in/kgopotso-selibi-043453179","Gauteng, South Africa","FNB South Africa","Credit Risk & Collections Management Leader","Manager","Credit Risk; Collections Strategy; Portfolio Risk","Bank","Collections management; debt restructuring; portfolio risk","Manager","Indexed LinkedIn result states Credit Risk & Collections Management Leader and FNB collections manager history.","https://za.linkedin.com/in/kgopotso-selibi-043453179","8","High",""
"CRSA-035","Dawid Bauer","https://za.linkedin.com/in/dawid-bauer-20340687","South Africa","FNB South Africa","Head of Credit Analytics: Commercial Asset Finance","Head","Credit Analytics; Vehicle Finance Risk","Bank / vehicle finance","Commercial asset finance credit analytics","Head","Indexed LinkedIn result states Head of Credit Analytics: Commercial Asset Finance at FNB.","https://za.linkedin.com/in/dawid-bauer-20340687","9","High",""
"CRSA-036","Sadie Ward","https://za.linkedin.com/in/sadie-ward-3274412b8","South Africa","FNB South Africa","Credit Scoring | Risk Analytics","Analyst","Credit Scoring; Risk Analytics","Bank","Credit scoring; banking risk analytics","Analyst","Indexed LinkedIn result states credit scoring professional in banking sector at FNB South Africa.","https://za.linkedin.com/in/sadie-ward-3274412b8","8","High",""
"CRSA-037","Samiksha Deepa Singh","https://za.linkedin.com/in/samiksha-deepa-singh-16a02562","South Africa","Standard Bank South Africa","Portfolio Manager: Vehicle & Asset Finance Credit Risk Management, Analytics & Reporting","Manager","Credit Risk; Credit Analytics; Vehicle Finance Risk","Bank / vehicle finance","VAF portfolio risk analytics and reporting","Manager","Indexed LinkedIn result states portfolio manager in VAF credit risk management, analytics and reporting at Standard Bank.","https://za.linkedin.com/in/samiksha-deepa-singh-16a02562","9","High",""
"CRSA-038","Eduan Jordaan","https://za.linkedin.com/in/eduan-jordaan-86614818b","Bryanston, Gauteng, South Africa","MarquisFinance / Gomo","Credit Analytics Manager","Manager","Credit Analytics","Fintech lending / non-bank lender","Credit analytics management","Manager","Indexed LinkedIn result states Credit Analytics Manager and senior credit analyst experience.","https://za.linkedin.com/in/eduan-jordaan-86614818b","8","Medium","Company requires manual verification."
"CRSA-039","Alma Koegelenberg","https://za.linkedin.com/in/alma-koegelenberg-54613758","South Africa","Needs verification","Head of Analytics, Broader Africa","Head","Credit Analytics; Quantitative Analysis","Bank / analytics","Credit analytics management; quantitative analysis","Head","Indexed LinkedIn result states former FNB Credit Analytics Manager and Quantitative Analyst.","https://za.linkedin.com/in/alma-koegelenberg-54613758","7","Medium","Current company requires manual verification."
"CRSA-040","Unarine Netshiozwi","https://www.linkedin.com/in/unarine-netshiozwi","City of Johannesburg, Gauteng, South Africa","Bidvest Bank Limited","Quantitative Risk Analyst","Analyst","Quantitative Risk; Credit Risk; Data Science","Bank","Credit risk, data science and statistical modelling","Analyst","Indexed LinkedIn result states Quantitative Risk Analyst at Bidvest Bank with credit risk and data science.","https://www.linkedin.com/in/unarine-netshiozwi","8","High",""
"CRSA-041","Henry Edwards","https://za.linkedin.com/in/henry-edwards-1a65883b","South Africa","Anchor Point Risk / BDO South Africa","Owner / Head of Credit","Head","Credit Risk; Portfolio Risk","Consulting","Portfolio risk management; head of credit","Head","Indexed LinkedIn result states owner of Anchor Point Risk and Head of Credit at BDO South Africa Financial Services.","https://za.linkedin.com/in/henry-edwards-1a65883b","8","High",""
"CRSA-042","John Linfield, CFA PRM","https://za.linkedin.com/in/riskdataofficer","South Africa","Needs verification","Credit Risk Analytics and Decision Strategies Specialist","Consultant","Credit Risk; Decisioning; Credit Strategy","Consulting / analytics","Scoring and rating systems; credit strategy; transactional decisioning","Consultant","Indexed LinkedIn result states 25 years data analysis with credit risk analytics and decision strategies.","https://za.linkedin.com/in/riskdataofficer","8","Medium",""
"CRSA-043","Alizwa Jaza","https://za.linkedin.com/in/alizwa-jaza-2a818722b","City of Johannesburg, Gauteng, South Africa","Capitec","Capitec Future Leader | Credit Analytics & Reporting","Analyst","Credit Analytics; Reporting","Digital bank","Credit analytics and reporting","Analyst","Indexed LinkedIn result states Capitec Future Leader with Credit Analytics & Reporting.","https://za.linkedin.com/in/alizwa-jaza-2a818722b","8","High",""
"CRSA-044","Catherine Montsho","https://za.linkedin.com/in/catherine-montsho-b4503223","City of Johannesburg, Gauteng, South Africa","Nedbank Corporate & Investment Banking","Manager: Credit Risk Analytics & Evaluations","Manager","Credit Risk; Credit Analytics","Bank","CIB credit risk analytics and evaluations","Manager","Indexed LinkedIn result states Manager: Credit Risk Analytics & Evaluations at Nedbank CIB.","https://za.linkedin.com/in/catherine-montsho-b4503223","9","High",""
"CRSA-045","Prebashnee Prue Kanniah","https://za.linkedin.com/in/prebashnee-prue-kanniah-09508150","South Africa","Standard Bank South Africa","Head Strategy / Collections / Recoveries / Credit Risk / Portfolio Management","Head","Collections Strategy; Credit Risk; Portfolio Risk","Bank","Collections, recoveries and credit risk portfolio management","Head","Indexed LinkedIn result states Head Strategy / Collections / Recoveries / Credit Risk / Portfolio Management at Standard Bank.","https://za.linkedin.com/in/prebashnee-prue-kanniah-09508150","9","High",""
"CRSA-046","Neil du Toit","https://za.linkedin.com/in/neil-du-toit-67664257","South Africa","Needs verification","Head: Credit VAF Originations and Account Management","Head","Credit Strategy; Vehicle Finance Risk","Bank / vehicle finance","VAF originations; credit strategy","Head","Indexed LinkedIn result states responsibility for leading credit strategy in VAF originations and account management.","https://za.linkedin.com/in/neil-du-toit-67664257","8","Medium",""
"CRSA-047","Sarah Gnielka","https://za.linkedin.com/in/sarah-gnielka-13088194","Cape Town, Western Cape, South Africa","Confluent","Head of Credit Analytics","Head","Credit Analytics","Analytics vendor / fintech","Credit analytics leadership","Head","Indexed LinkedIn result states Head of Credit Analytics at Confluent in Cape Town.","https://za.linkedin.com/in/sarah-gnielka-13088194","8","High",""
"CRSA-048","Muhsin Kader","https://za.linkedin.com/in/muhsin-kader-5007bb299","South Africa","Needs verification","Senior Business Analyst & Credit Risk Analytics Leader","Senior Manager","Credit Risk; Credit Analytics; Credit Bureau / Data","Credit bureau / analytics","Credit bureau operations; credit ecosystem analytics","Manager","Indexed LinkedIn result states credit risk analytics leader with credit bureau operations experience.","https://za.linkedin.com/in/muhsin-kader-5007bb299","8","Medium",""
"CRSA-049","Thabane Gali","https://za.linkedin.com/in/thabane-gali-225a02179","City of Johannesburg, Gauteng, South Africa","Standard Bank South Africa","Credit Risk Portfolio Manager","Manager","Credit Risk; Portfolio Risk","Bank","Portfolio risk appetite; unsecured portfolio credit risk","Manager","Indexed LinkedIn result states Credit Risk Portfolio Manager at Standard Bank and portfolio risk appetite responsibilities.","https://za.linkedin.com/in/thabane-gali-225a02179","9","High",""
"CRSA-050","Nikita Maharaj","https://za.linkedin.com/in/nikita-maharaj-nm23","City of Johannesburg, Gauteng, South Africa","Nedbank","Portfolio Risk Management / Credit Strategy & Governance","Manager","Portfolio Risk; Credit Strategy; Governance","Bank","Business lending portfolio risk, credit strategy and governance","Manager","Indexed LinkedIn result states Portfolio Risk Management and Credit Strategy & Governance at Nedbank.","https://za.linkedin.com/in/nikita-maharaj-nm23","8","High",""
"CRSA-051","James Stafford Dearham","https://za.linkedin.com/in/james-dearham","South Africa","Old Mutual South Africa","Senior Quantitative Specialist | Credit Risk Scoring Models","Senior Analyst","Credit Risk; Scorecards; Quantitative Analysis","Insurance / lending","Credit risk scoring models; decisioning; pricing; credit strategy","Analyst","Indexed LinkedIn result states Senior Quantitative Specialist in credit risk scoring models at Old Mutual South Africa.","https://za.linkedin.com/in/james-dearham","9","High",""
"CRSA-052","Mhlanguleli Boqwana","https://za.linkedin.com/in/mhlanguleli-boqwana-22219b79","City of Johannesburg, Gauteng, South Africa","FNB South Africa","Credit Card – Data Scientist II","Senior Analyst","Data Science; Credit Risk","Bank","Credit card risk analytics","Analyst","Indexed LinkedIn result states Credit Card Data Scientist II at FNB.","https://za.linkedin.com/in/mhlanguleli-boqwana-22219b79","7","High",""
"CRSA-053","Nosipho Mfusi","https://za.linkedin.com/in/nosipho-mfusi-39923a116","South Africa","KPMG South Africa","Junior Consultant | Credit Risk Quantitative Analyst","Junior","Quantitative Credit Risk; Consulting","Consulting","Credit risk quantitative analysis","Consultant","Indexed LinkedIn result states Junior Consultant | Credit Risk Quantitative Analyst at KPMG South Africa.","https://za.linkedin.com/in/nosipho-mfusi-39923a116","8","High",""
"CRSA-054","Stuart Cox","https://za.linkedin.com/in/stuart-cox-b44856131","Cape Town, Western Cape, South Africa","JUMO","Portfolio Management Lead","Lead / Team Lead","Portfolio Risk; Credit Risk; Data Analytics","Fintech lending","Loan portfolio credit risk; product portfolio management","Lead","Indexed LinkedIn result states Portfolio Management Lead at JUMO managing credit risk of loan portfolios.","https://za.linkedin.com/in/stuart-cox-b44856131","9","High",""
"CRSA-055","Nhlanhla Hlatshwayo","https://za.linkedin.com/in/nhlanhla-hlatshwayo-79ba01111","City of Johannesburg, Gauteng, South Africa","African Bank","CIB & Coverage","Manager","Credit Strategy; Credit Risk","Bank","Credit strategy development and industry monitoring","Manager","Indexed LinkedIn result states African Bank CIB/Coverage with support for credit strategy development.","https://za.linkedin.com/in/nhlanhla-hlatshwayo-79ba01111","7","Medium",""
"CRSA-056","Christopher Mumbeck","https://za.linkedin.com/in/christopher-mumbeck-420529a1","City of Cape Town, Western Cape, South Africa","Capfin","Credit Risk Manager","Manager","Credit Risk","Unsecured lender","Consumer credit risk","Manager","Indexed LinkedIn result states Credit Risk Manager at Capfin.","https://za.linkedin.com/in/christopher-mumbeck-420529a1","9","High",""
"CRSA-057","Miriette Jordaan","https://za.linkedin.com/in/miriette-jordaan-09b4a72a","South Africa","TFG (The Foschini Group)","Portfolio Manager / Credit Risk","Manager","Portfolio Risk; Retail Credit","Retail credit","Retail credit risk value-based management","Manager","Indexed LinkedIn result states credit risk at TFG and portfolio manager experience.","https://za.linkedin.com/in/miriette-jordaan-09b4a72a","8","High",""
"CRSA-058","Julian Cairns","https://za.linkedin.com/in/julian-cairns-a6942b11a","City of Cape Town, Western Cape, South Africa","RCS","Risk Analyst","Analyst","Risk Analytics; Credit Risk","Retail credit","Risk analytics; junior credit risk history","Analyst","Indexed LinkedIn result states Risk Analyst at RCS and Junior Credit Risk experience.","https://za.linkedin.com/in/julian-cairns-a6942b11a","8","High",""
"CRSA-059","Alistair Everard","https://za.linkedin.com/in/alistair-everard-758122100","City of Cape Town, Western Cape, South Africa","RCS","Credit Risk Manager","Manager","Credit Risk","Retail credit","Retail credit risk management","Manager","Indexed LinkedIn result states Credit Risk Manager at RCS.","https://za.linkedin.com/in/alistair-everard-758122100","9","High",""
"CRSA-060","Mahmoodah Gierdien","https://za.linkedin.com/in/mahmoodah-gierdien-a5a91274","City of Cape Town, Western Cape, South Africa","RCS / Principa","Credit Risk Analyst","Analyst","Credit Risk","Retail credit / analytics vendor","Retail credit risk; Principa credit risk","Analyst","Indexed LinkedIn result states Credit Risk Analyst at RCS, Lewis Group and Principa.","https://za.linkedin.com/in/mahmoodah-gierdien-a5a91274","8","High",""
"CRSA-061","Jolene van den Berg","https://za.linkedin.com/in/jolene-van-den-berg-6967b643","South Africa","Capfin","Head of Decision Support and Analytics","Head","Credit Risk; Decision Support; Analytics","Unsecured lender","Credit risk analytics and decision support","Head","Indexed LinkedIn result states Head of Decision Support and Capfin senior credit risk analyst history.","https://za.linkedin.com/in/jolene-van-den-berg-6967b643","8","High",""
"CRSA-062","Ashwin Engelbrecht","https://za.linkedin.com/in/ashwin-engelbrecht-8b5186183","City of Cape Town, Western Cape, South Africa","TFG (The Foschini Group)","Credit Risk Analyst","Analyst","Credit Risk","Retail credit","Retail credit risk","Analyst","Indexed LinkedIn result states Credit Risk Analyst at TFG.","https://za.linkedin.com/in/ashwin-engelbrecht-8b5186183","9","High",""
"CRSA-063","Helgaard Doman","https://za.linkedin.com/in/helgaard-doman-3751a96a","City of Cape Town, Western Cape, South Africa","Truworths","Credit Risk Analyst","Analyst","Credit Risk","Retail credit","Retail credit risk","Analyst","Indexed LinkedIn result states Credit Risk Analyst at Truworths.","https://za.linkedin.com/in/helgaard-doman-3751a96a","9","High",""
"CRSA-064","Ed Symons","https://za.linkedin.com/in/ed-symons-84b1161b","City of Cape Town, Western Cape, South Africa","Kifiya Financial Technology / Independent","Credit Risk Strategy, Decisioning and Analytics","Consultant","Credit Strategy; Decisioning; Credit Analytics","Fintech / consulting","Credit risk strategy; decisioning; analytics","Consultant","Indexed LinkedIn result states credit risk strategy, decisioning and analytics and prior RCS senior credit risk analyst.","https://za.linkedin.com/in/ed-symons-84b1161b","8","High",""
"CRSA-065","David Coleman","https://za.linkedin.com/in/david-coleman-48440311","South Africa","RCS Personal Finance","Credit Risk Manager","Manager","Credit Risk","Retail credit","Personal finance credit risk","Manager","Indexed LinkedIn result states Credit Risk Manager at RCS Personal Finance.","https://za.linkedin.com/in/david-coleman-48440311","9","High",""
"CRSA-066","Tiaan De Jager","https://za.linkedin.com/in/tiaan-de-jager-53b5a321","Cape Town, Western Cape, South Africa","Woolworths Financial Services","Senior Credit Risk Analyst","Senior Analyst","Credit Risk","Retail credit","Retail credit risk","Analyst","Indexed LinkedIn result states Senior Credit Risk Analyst at Woolworths Financial Services.","https://za.linkedin.com/in/tiaan-de-jager-53b5a321","9","High",""
"CRSA-067","Dane Godwin","https://za.linkedin.com/in/dane-godwin-931b9642","South Africa","Woolworths Financial Services","Senior Credit Risk Analyst","Senior Analyst","Credit Risk","Retail credit","Retail credit risk","Analyst","Indexed LinkedIn result states Senior Credit Risk Analyst at Woolworths Financial Services and current WFS experience.","https://za.linkedin.com/in/dane-godwin-931b9642","8","High",""
