company_name	sector	subsector	wc_footprint	operational_overlap	evidence_basis	source_url
Mineral Sands Resources / Tormin	Mining & minerals	Mineral sands mining / processing	West Coast, Western Cape	Very high	Confirmed public evidence	https://www.mineralcommodities.com/
Astron Energy	Energy / petrochemicals	Refinery / fuels distribution	Cape Town refinery	Very high	Confirmed public evidence	https://astronenergy.co.za/about-us/
PetroSA	Energy / petrochemicals	GTL / petroleum	Mossel Bay + Cape Town	Very high	Confirmed public evidence	https://www.petrosa.co.za/sales.html
Sunrise Energy	Energy / terminals	LPG import, storage and dispatch	Port of Saldanha	Very high	Confirmed public evidence	https://www.sunriseenergy.co.za/about/
Power Group	Construction & infrastructure	Civil / building / roads / infrastructure	Blackheath / Cape Town	High	Confirmed public evidence	https://www.powergrp.co.za/
Civils 2000	Construction & infrastructure	Civil / building / roads / infrastructure	Blackheath / Cape Town	High	Confirmed public evidence	https://civils2000.co.za/
WBHO Construction - Cape Division	Construction & infrastructure	Civil / building / roads / infrastructure	Cape Town / Philippi	High	Confirmed public evidence	https://www.wbho.co.za/contact-us/
Haw & Inglis	Construction & infrastructure	Civil / building / roads / infrastructure	Cape Town / Western Cape	High	Confirmed public evidence	https://www.haw-inglis.co.za/
Martin & East	Construction & infrastructure	Civil / building / roads / infrastructure	Western Cape	High	Confirmed public evidence	https://www.martinand-east.co.za/
ASLA	Construction & infrastructure	Civil / building / roads / infrastructure	Western Cape	High	Confirmed public evidence	https://www.asla.co.za/
Concor	Construction & infrastructure	Civil / building / roads / infrastructure	Current Western Cape project activity	High	Confirmed public evidence	https://www.concor.co.za/
Raubex / Roadmac Surfacing Cape	Construction & infrastructure	Civil / building / roads / infrastructure	Western Cape	High	Confirmed public evidence	https://raubex.com/
GVK-Siya Zama	Construction & infrastructure	Civil / building / roads / infrastructure	Cape Town / Western Cape	High	Confirmed public evidence	https://www.gvk.co.za/
Isipani Construction	Construction & infrastructure	Civil / building / roads / infrastructure	Paarl / Western Cape	High	Confirmed public evidence	https://isipani.co.za/
R+N Master Builders	Construction & infrastructure	Civil / building / roads / infrastructure	Cape Town	High	Confirmed public evidence	https://www.rnmasterbuilders.co.za/
Macsteel	Steel & industrial distribution	Steel service centres / distribution	Bellville South / Cape Town	High	Confirmed public evidence	https://www.macsteel.co.za/
NJR Steel	Steel & industrial distribution	Steel / hardware	Cape Town and Worcester	High	Confirmed public evidence	https://www.njrsteel.com/
Meshco	Steel / wire manufacturing	Mesh, fencing, reinforcing / mining support	Blackheath, Cape Town	High	Confirmed public evidence	https://www.meshco.co.za/
SA Metal Group	Metals / recycling	Metal recycling and processing	Multiple Cape Town-area sites	High	Confirmed public evidence	https://sametal.co.za/
Fabrinox	Engineering manufacturing	Metal fabrication / project manufacturing	Paarl	High	Confirmed public evidence	https://www.fabrinox.com/about-us/
Foct Engineering	Engineering manufacturing	Stainless fabrication / maintenance	Cape Town	High	Confirmed public evidence	https://sassda.co.za/news-home/stainless-steel-magazine-digital-issues/stainless-steel-magazine-issue-2-2026/new-member-profile-foct-engineering/
Bowler Metcalf / Bowler Plastics	Packaging manufacturing	Rigid plastic packaging	Ottery / Cape Town + other sites	High	Confirmed public evidence	https://www.bowlermetcalf.co.za/
Mpact	Packaging / recycling	Corrugated, plastics, recycling	Epping, Kuils River, Atlantis, Paarl, Parow, Stellenbosch	Very high	Confirmed public evidence	https://www.mpact.co.za/contact-us/
Polyoak Packaging	Packaging manufacturing	Rigid plastic packaging	Diep River / Cape Town	High	Confirmed public evidence	https://polyoakpackaging.co.za/stores/cape-town-western-cape/
Ardagh Glass Packaging SA	Packaging manufacturing	Glass packaging / recycling	Bellville	High	Confirmed public evidence	https://www.ardaghgroup.com/corporate/news-centre/detail/34203/Ardagh%27s%2Bmoney4glass%2Binitiative%2Bmarks%2Bone-year%2Bmilestone%2Bin%2Bsustainable%2Brecycling
Nampak	Packaging / industrial	Packaging / R&D	Epping, Cape Town	High	Confirmed public evidence	https://www.nampak.com/products/research
RFG Foods	Food manufacturing	Multi-category food processing	Groot Drakenstein, Wellington, Tulbagh	Very high	Confirmed public evidence	https://rfg.com/contact/
PepsiCo South Africa / Pioneer Foods	Food manufacturing / FMCG	Food / beverage / distribution	Atlantis, Cape Town, Epping, George, Malmesbury, Paarl, Parow, Worcester	Very high	Confirmed public evidence	https://www.pepsicojobs.com/southafrica/jobs/locations?lang=en-ZA
Lactalis South Africa	Dairy manufacturing	Dairy / cheese / distribution	Stellenbosch HQ; Bonnievale factory	Very high	Confirmed public evidence	https://lactalis.co.za/our-story/at-a-glance
Fair Cape Dairies	Dairy / food manufacturing	Dairy, juice, desserts	Killarney Gardens, farm processing, Malmesbury	Very high	Confirmed public evidence	https://faircape.com/about/history/
Peninsula Beverages	Beverage manufacturing	Coca-Cola bottling / distribution	Cape Town / Western Cape	Very high	Confirmed public evidence	https://peninsulabeverage.co.za/visit_our_factory
Sea Harvest Group	Fishing / food processing	Fleet, processing, aquaculture	Cape Town, Saldanha, Mossel Bay and other WC operations	Very high	Confirmed public evidence	https://seaharvestgroup.co.za/our-operations/
Oceana Group	Fishing / food processing	Catching, processing, distribution	Cape Town-based group	Very high	Confirmed public evidence	https://www.oceana.co.za/about-oceana-group
I&J	Fishing / food processing	Fishing, processing, packaging	Cape Town / Paarden Eiland / Western Cape	Very high	Confirmed public evidence	https://www.ij.co.za/about/
Premier Fishing & Brands	Fishing / processing	Fishing, processing, aquaculture	Cape Town HQ + WC operations	High	Confirmed public evidence	https://premierfishing.co.za/about/
LANCEWOOD	Dairy manufacturing	Dairy / cheese	George	High	Confirmed public evidence	https://lancewood.co.za/about/
Ladismith Cheese / Woodlands Dairy Group	Dairy manufacturing	Cheese, butter, milk powders	Ladismith	High	Confirmed public evidence	https://seaharvestgroup.co.za/press/sea-harvest-completes-ladismith-cheese-disposal/
Southern Oil (SOILL)	Agri-processing	Canola crushing / refining	Swellendam	Very high	Confirmed public evidence	https://www.swellendam.gov.za/business/doing-business/
HEINEKEN Beverages	Beverage manufacturing / distribution	Beer, cider, wine/spirits group	Stellenbosch and Cape Town	Very high	Confirmed public evidence	https://careers.theheinekencompany.com/job-listing?operatings_company%5B0%5D=309
DGB	Beverage manufacturing	Wine / spirits production	Wellington, Franschhoek, Boschendal	High	Confirmed public evidence	https://www.dgb.co.za/production/facilities/
KWV	Beverage manufacturing	Wine / spirits	Paarl HQ + WC network	High	Confirmed public evidence	https://kwv.co.za/contact-us/
SAB / AB InBev - Newlands Brewery	Beverage manufacturing	Brewing	Newlands, Cape Town	High	Confirmed public evidence	https://www.ab-inbev.com/
Overberg Agri	Agriculture / distribution	Agri retail, grain, mechanisation	Western Cape / Overberg / Swartland network	Very high	Confirmed public evidence	https://overbergagri.co.za/our-divisions/
Kaap Agri / Agrimark	Agriculture / distribution	Agri retail / inputs / building materials	Large WC branch network	Very high	Confirmed public evidence	https://www.rainpointsa.co.za/stockists/agrimark-stockists
Sentraal-Suid Co-operative (SSK)	Agriculture / distribution	Agri co-op / grain / inputs	Swellendam / Overberg	Very high	Confirmed public evidence	https://www.ssk.co.za/
Two-a-Day Group	Fruit / agri-processing	Grower, packer, logistics, packaging	Grabouw / Elgin	Very high	Confirmed public evidence	https://www.twoday.co.za/
Tru-Cape Fruit Marketing	Fresh produce	Fruit marketing / export	Somerset West / WC grower network	High	Confirmed public evidence	https://www.fpef.co.za/exportermembersextensivelist
Ceres Fruit Growers	Fresh produce / packhouse	Packing / storage	Ceres	Very high	Confirmed public evidence	https://www.cfg.co.za/
Kromco	Fresh produce / packhouse	Packing, cold storage, logistics	Grabouw / Elgin	Very high	Confirmed public evidence	https://www.kromco.co.za/
Dutoit Agri	Agriculture / fresh produce	Farms, packhouses, cold storage	Ceres / Western Cape	Very high	Confirmed public evidence	https://www.dutoit.com/packing-facilities/
Capespan South Africa	Fresh produce	Grower / packer / exporter	Cape-based / Western Cape presence	High	Confirmed public evidence	https://www.fpef.co.za/exportermembersextensivelist
Lona Group	Fresh produce / logistics	Produce, packing, cold storage	Cape Town / Western Cape	High	Confirmed public evidence	https://lonagroup.com/
Fruitways	Fresh produce	Grower / packer / marketer	Western Cape	High	Confirmed public evidence	https://www.fpef.co.za/exportermembersextensivelist
Betko Fresh Produce	Fresh produce	Grower / packer / exporter	Overberg / Western Cape	High	Confirmed public evidence	https://www.fpef.co.za/exportermembersextensivelist
Core Fruit	Fresh produce	Exporter / marketer	Western Cape contact footprint	High	Confirmed public evidence	https://www.fpef.co.za/exportermembersextensivelist
Southern African Fruit Terminals (SAFT)	Cold chain / logistics	Cold storage / fruit terminals	Paarl, Killarney, Atlantic / WC	Very high	Confirmed public evidence	https://www.saft.co.za/
Commercial Cold Holdings	Cold chain / logistics	Cold storage	Epping, Cape Town	High	Confirmed public evidence	https://commercialcold.co.za/
Snolink	Logistics / warehousing	Transport, warehousing, cold/bulk	Montague Gardens / Stikland	High	Confirmed public evidence	https://snolink.co.za/
Cape Fruit Coolers	Cold chain / logistics	Cold storage / export handling	Cape Town	High	Confirmed public evidence	https://capefruitcoolers.co.za/
DSV	Logistics / warehousing	Contract logistics / freight	Cape Town / Western Cape	High	Confirmed public evidence	https://www.dsv.com/en-za/
Bidvest International Logistics	Logistics / warehousing	Freight, transport, warehousing	Paarden Eiland / Century City	High	Confirmed public evidence	https://www.bidvestil.com/contact-us
Grindrod / United Container Depots	Logistics / terminals	Container depot, reefer, transport	Salt River, Cape Town	High	Confirmed public evidence	https://www.grindrod.com/press-release/30212-grindrod-opens-new-container-depot-in-salt-river-cape-town-boosting-efficiencies-in-containerised-cargo
Maersk	Logistics / cold chain	Cold storage / container logistics	Belcon, Cape Town	High	Confirmed public evidence	https://www.maersk.com/local-information/imea/warehousing-and-distribution
Shoprite Holdings	Retail / distribution	FMCG retail + DCs	Brackenfell / Cilmor	Very high	Confirmed public evidence	https://www.shopriteholdings.co.za/
Pick n Pay	Retail / distribution	FMCG retail + DC	Western Cape / Philippi DC + store network	Very high	Confirmed public evidence	https://www.pnp.co.za/pick-local/suppliers
Woolworths Holdings	Retail / distribution	Retail + DCs	Cape Town HQ / DCs	Very high	Confirmed public evidence	https://www.woolworthsholdings.co.za/woolworths-invests-over-r175-million-in-renewable-energy-initiatives/
The Building Company	Building materials distribution	BUCO / Timbercity / B-ONE / HHL / wholesale	Large Western Cape store network	Very high	Confirmed public evidence	https://thebuildingco.com/store-locator/
Brights Hardware	Building materials distribution	Hardware / building materials	Cape Town / Northern Suburbs / West Coast	High	Confirmed public evidence	https://www.brights.co.za/
Cashbuild	Building materials distribution	Building materials / hardware	Multiple Western Cape stores	High	Confirmed public evidence	https://www.cashbuild.co.za/
SOLA Group	Renewable energy / EPC	IPP, development, EPC, O&M	Cape Town	High	Confirmed public evidence	https://solagroup.co.za/about-sola/
JUWI South Africa	Renewable energy / EPC	Wind/solar development, EPC, O&M	Cape Town	High	Confirmed public evidence	https://www.juwi.co.za/
Scatec South Africa	Renewable energy / IPP	Solar/BESS development and operations	Cape Town engineering hub	High	Confirmed public evidence	https://www.scatec.com/en/project/south-africa/
Mulilo	Renewable energy / IPP	Solar, wind, BESS	Cape Town	High	Confirmed public evidence	https://www.mulilo.com/
Red Rocket	Renewable energy / IPP	Development / construction / operations	Cape Town	High	Confirmed public evidence	https://redrocket.energy/contact/
Mainstream Renewable Power	Renewable energy / development	Wind / solar development	Claremont, Cape Town	High	Confirmed public evidence	https://www.linkedin.com/company/mainstream-renewable-power
Lesedi Nuclear Services	Engineering / EPC	Nuclear, industrial, oil & gas, power	Century City, Cape Town	High	Confirmed public evidence	https://www.lesedins.co.za/contact/
Damen Shipyards Cape Town	Marine manufacturing	Shipbuilding / industrial projects	Port of Cape Town	High	Confirmed public evidence	https://www.damen.com/companies/damen-shipyards-cape-town
Cape Cement Products	Construction materials	Cement blocks, bricks & pavers	Atlantis	Very high	Confirmed - Sweep 2	https://capecement.co.za/products/140-block/
Blublok Cement Manufacturers	Construction materials	Cement bricks & blocks	Strand	Very high	Confirmed - Sweep 2	https://www.blublok.co.za/
Quickslab	Construction materials	Precast concrete slab systems	Western Cape	Very high	Confirmed - Sweep 2	https://quickslab.co.za/
Mouton Precast	Construction materials	Precast walls, slabs & posts	Retreat, Cape Town	Very high	Confirmed - Sweep 2	https://www.moutonprecast.co.za/
Inca Concrete Products	Construction materials	Pavers, blocks & bricks	Eerste River, Cape Town	Very high	Confirmed - Sweep 2	https://incaconcreteproducts.co.za/
SmartStone Cape Town	Construction materials	Concrete paving & landscaping products	Wellington	Very high	Confirmed - Sweep 2	https://www.smartstone.co.za/smartstone-cape-town/
Cape Paving	Construction materials	Concrete pavers & slabs	Epping 2, Cape Town	Very high	Confirmed - Sweep 2	https://capepaving.co.za/
Aldera & Martina	Construction materials	Custom precast concrete	Cape Town	Very high	Confirmed - Sweep 2	https://www.aldera.co.za/
Civil Pro Precast	Construction materials	Precast walling	Blackheath, Cape Town	Very high	Confirmed - Sweep 2	https://www.civilpros.co.za/
Omega Concrete	Construction materials	Ready-mix concrete	Cape Town; three batch plants	Very high	Confirmed - Sweep 2	https://www.omegaconcrete.co.za/
Sandberg Transport	Construction materials / logistics	Aggregates, crushing, sand, transport & mobile ready-mix	Western Cape	Very high	Confirmed - Sweep 2	https://www.sandbergtransport.co.za/services/
CSV Construction	Construction & infrastructure	Civil and building construction	Western Cape	Very high	Confirmed - Sweep 2	https://csvconstruction.com/
Stabilid Cape Construction	Construction & infrastructure	Industrial, commercial & residential construction	Brackenfell, Cape Town	Very high	Confirmed - Sweep 2	https://stabilidcape.co.za/
GeoCiv Group	Construction & engineering	Piling and geotechnical engineering	Joostenbergvlakte / Kraaifontein	Very high	Confirmed - Sweep 2	https://www.geocivgroup.co.za/contact-us/
Southey Contracting	Industrial services	Scaffolding, coatings, insulation & industrial services	Montague Gardens, Cape Town	Very high	Confirmed - Sweep 2	https://www.southeycontracting.com/contact/
Mazor Group	Engineering / manufacturing	Steel, aluminium, glass & fabrication	Killarney Gardens, Cape Town	Very high	Confirmed - Sweep 2	https://www.mazor.co.za/the-mazor-group-of-companies/
Duram Smart Paints	Chemicals / building products	Paints and coatings	Montague Gardens; Cape Town factory	Very high	Confirmed - Sweep 2	https://www.duram.co.za/guarantee/
Air Products South Africa	Industrial gases	Bulk, packaged and specialty gases	Stikland, Cape Town	Very high	Confirmed - Sweep 2	https://airproducts.co.za/about-air-products/
Rheinmetall Denel Munition	Advanced manufacturing	Ammunition / plant engineering	Somerset West HQ; Wellington site	Very high	Confirmed - Sweep 2	https://www.rheinmetall.com/en/company/subsidiaries/rheinmetall-denel-munition
Italtile Group - Western Cape Distribution Centre	Building materials distribution	Tiles, sanitaryware & related products	Western Cape distribution centre	High	Confirmed - Sweep 2	https://italtile-reports.co.za/annual-reports/iar-2025/directors-report.php
Robertson & Caine	Marine manufacturing	Catamaran manufacturing	Cape Town manufacturing network	High	Confirmed - Sweep 2	https://robertsonandcaine.com/manufacturing.html
Two Oceans Marine Manufacturing	Marine manufacturing	Custom and semi-custom vessels	Cape Town	High	Confirmed - Sweep 2	https://2oceans.co.za/
Balance Catamarans Cape Town	Marine manufacturing	Catamaran manufacturing	Cape Town	High	Confirmed - Sweep 2	https://balancecatamarans.com/category/announcements/
Phoenix Marine Manufacturing	Marine manufacturing	Yachts and catamarans	Cape Town	High	Confirmed - Sweep 2	https://phoenixcatamarans.com/
Dormac	Marine / heavy engineering	Ship repair, fabrication & engineering	Cape Town and Saldanha	Very high	Confirmed - Sweep 2	https://www.dormac.net/ship-repair/
Atlantis Foundries	Heavy manufacturing	Ferrous castings	Atlantis	Very high	Confirmed - Sweep 2	https://www.dqsglobal.com/en/customer-database/atlantis-foundries-pty-ltd
Quantum Foods Holdings	Agri / food production	Feeds, poultry & eggs	Wellington HQ; Western Cape operations	High	Confirmed - Sweep 2	https://quantumfoods.co.za/
Nova Feeds	Animal feed manufacturing	Feed mills	Malmesbury and George	High	Confirmed - Sweep 2	https://novafeeds.co.za/operations/
Meadow Feeds	Animal feed manufacturing	Feed mills	Paarl and Ladismith	High	Confirmed - Sweep 2	https://www.meadowfeeds.co.za/meadow-feeds-company/operational-sites/
AFGRI Animal Feeds	Animal feed manufacturing	Feed mill and depot	Klipheuwel mill; George depot	High	Confirmed - Sweep 2	https://www.afgrianimalfeeds.co.za/contact-us/?lang=en
County Fair	Poultry / food processing	Integrated poultry processing	Agter-Paarl; Epping further processing	High	Confirmed - Sweep 2	https://www.astralfoods.com/our-brands/county-fair/
Tiger Brands	Food manufacturing	Milling, culinary, cereals, tomato processing & foods	Six manufacturing sites in Western Cape	High	Confirmed - Sweep 2	https://www.tigerbrands.com/media/transforms-historic-paarl-facility.php
Western Cape Milling	Grain / milling	Flour milling	Western Cape	High	Confirmed - Sweep 2	https://wcmilling.co.za/
Group 35 Foods	Grain / milling	Flour milling	Riebeek West / Swartland	High	Confirmed - Sweep 2	https://group35foods.co.za/about/
Citrusdal Rollermeule	Grain / milling	Flour / grain milling	Citrusdal	High	Confirmed - Sweep 2	https://sanha.org.za/certified-establishmen/listing/citrusdal-rollermeule/
Eureka Mills	Grain / milling	Stoneground flour milling	Heidelberg, Western Cape	High	Confirmed - Sweep 2	https://eurekamills.co.za/
BKB GrainCo / GrainCo Storage	Grain / storage / logistics	Grain trading, storage and logistics	Paarl HQ; multiple Western Cape depots	High	Confirmed - Sweep 2	https://gs.bkb.co.za/our-location/
MTO Group - George Sawmill	Timber / manufacturing	Sawmilling and treated timber	George	High	Confirmed - Sweep 2	https://www.mto.group/about-us/our-manufacturing
PG Bison / Thesen	Timber / manufacturing	Structural timber / sawmilling	George / Southern Cape	High	Confirmed - Sweep 2	https://pgbison.co.za/spotlight-on-thesen/
Geelhoutvlei Timbers	Timber / manufacturing	Sawmilling & engineered timber	Knysna district	High	Confirmed - Sweep 2	https://www.geelhoutvlei.co.za/
Fechters Sawmill	Timber / manufacturing	Sawmilling & timber products	Knysna	High	Confirmed - Sweep 2	https://www.deckandfloor.co.za/
CCS Logistics	Cold chain / logistics	Cold storage	Paarden Eiland, Epping and Duncan Dock, Cape Town	High	Confirmed - Sweep 2	https://www.ccslogistics.co.za/home
Sequence Logistics	Cold chain / logistics	Refrigerated logistics & cold storage	Stikland / Cape Town	High	Confirmed - Sweep 2	https://www.cchcold.com/post/cch-acquires-sequence-logistics
Table Bay Cold Storage	Cold chain / logistics	Cold storage & freight	Paarden Eiland, Cape Town	High	Confirmed - Sweep 2	https://tbcs.co.za/
Blaauwberg Cold Storage	Cold chain / logistics	Cold storage	Montague Gardens, Cape Town	High	Confirmed - Sweep 2	https://www.blaauwberggroup.co.za/blaauwberg-cold-storage/
WastePlan	Waste / recycling	Waste management and recycling	Bellville regional office; Western Cape operations	High	Confirmed - Sweep 2	https://www.wasteplan.co.za/contact-us/cape-town-waste-management/
EnviroServ	Waste / environmental services	Industrial waste, landfill & treatment	Bellville; Vissershok; Gansbaai/Saldanha operations	High	Confirmed - Sweep 2	https://www.enviroserv.co.za/about/our-footprint
Interwaste	Waste / recycling	Waste collection, treatment & recycling	Cape Town depot	High	Confirmed - Sweep 2	https://interwaste.co.za/depots/
Averda South Africa	Waste / environmental services	Waste collection and specialised services	Blackheath; Cape Town; George; Mossel Bay onsite operations	High	Confirmed - Sweep 2	https://www.averda.com/rsa/where-we-operate/south-africa
Resource Innovations Africa	Waste / recycling	Waste recovery and waste optimisation	Cape Town	High	Confirmed - Sweep 2	https://riafrica.co.za/
WasteGo Green	Waste / recycling	Materials recovery / recycling	Milnerton, Cape Town	High	Confirmed - Sweep 2	https://www.wastegogreen.co.za/
Brito's Group	Food / meat processing	Meat manufacturing, wholesale, distribution & retail	Kaymor Industria, Bellville; Brackengate	High	Confirmed - Sweep 2	https://corporate.britos.co.za/
Excellent Meat Group	Food / meat processing	Meat production, wholesale, import/export & retail	Cape Town / Western Cape	High	Confirmed - Sweep 2	https://excellentmeat.co.za/
Libstar	Food manufacturing	Multi-category food and consumer products	Multiple Cape-based business units	High	Confirmed - Sweep 2	https://www.libstar.co.za/operations/
Cape Herb & Spice	Food manufacturing	Herbs, spices and seasonings	Cape Town	High	Confirmed - Sweep 2	https://www.libstar.co.za/latest_news/local-company-puts-sa-on-the-global-map-as-world-celebrates-herb-spice-day/
Namaqua Wines	Beverage manufacturing	Wine production & export	Vredendal	High	Confirmed - Sweep 2	https://www.namaquawines.com/export/
Stellenbosch Vineyards / Advini South Africa	Beverage manufacturing	Wine production, warehousing & distribution	Stellenbosch	High	Confirmed - Sweep 2	https://stellenboschvineyards.co.za/about-us/
Boland Cellar	Beverage / agriculture	Wine production	Paarl	High	Confirmed - Sweep 2	https://www.bolandcellar.co.za/
Spier	Beverage / agriculture	Wine production & farm operations	Stellenbosch	High	Confirmed - Sweep 2	https://www.spier.co.za/impact/
Afresh Brands Cape / Equi-Feeds	Animal feed manufacturing	Horse, ostrich, livestock & game feeds	Fisantekraal, Cape Town	High	Confirmed - Sweep 2	https://www.afreshbrands.co.za/
Osdam Eco Facility	Agri-processing / circular economy	Animal feed, rendering & composting	Western Cape	High	Confirmed - Sweep 2	https://www.osdam.co.za/about
Reliance Compost	Waste / agri-processing	Organic waste processing & compost manufacturing	Corona Farm, R312, Paarl Farms	High	Confirmed - Sweep 2	https://www.reliance.co.za/about-us/
Concretex	Construction materials	Precast concrete housing, fencing & sanitation	Athlone Industria 2, Cape Town	Very high	Confirmed - Sweep 2	https://www.concretex.co.za/contact-us/
WonderCrete Precast	Construction materials	Precast lintels, walling, civils & concrete products	Ottery, Cape Town	Very high	Confirmed - Sweep 2	https://wondercrete.co.za/
Profile Feeds	Animal feed manufacturing	Animal feeds	Klapmuts / Southern Paarl	High	Confirmed - Sweep 2	https://www.profilefeeds.co.za/
