Sector,Company,Claim,Source URL,Evidence Type,Date Accessed,Confidence,Notes
"Mining","Glencore SA","SAP ERP","https://www.globaldata.com/store/report/glencore-plc-enterprise-tech-analysis/","Weak","2026-06-23","Medium-High","Paywalled"
"Mining","Glencore SA","SQL Server, Sybase, Oracle, PostgreSQL, MongoDB, Azure SQL, Cosmos DB","","Missing","","Medium-High","No source URLs found"
"Mining","Gold Fields","AWS primary cloud, SAP S/4HANA on AWS","https://press.aboutamazon.com/aws/2024/8/gold-fields-migrates-its-sap-environments-to-aws","Direct","2026-06-23","High",""
"Mining","Gold Fields","SAP to AWS migration, Deloitte partnership","https://cioafrica.co/gold-fields-migrates-its-sap-environments-to-aws","Direct","2026-06-23","High",""
"Mining","Gold Fields","AWS Industrial Data Fabric, GenAI exploration","https://it-online.co.za/2024/09/02/gold-fields-migrates-sap-environments-to-aws","Direct","2026-06-23","High",""
"Mining","Gold Fields","SuccessFactors","","Inferred","","High","Typical SAP companion"
"Mining","Harmony Gold","Oracle Cloud (OCI) primary, migrated from SAP to Oracle","https://www.appsruntheworld.com/customers-database/customers/view/harmony-gold-mining-company-limited-south-africa","Weak","2026-06-23","Medium",""
"Mining","Harmony Gold","Power BI, Qlik, Apache Kafka, RabbitMQ, SCADA, Wonderware","","Inferred","","Medium","No direct URLs found"
"Mining","Harmony Gold","Oracle EBS, Oracle HCM Cloud","https://www.appsruntheworld.com/customers-database/customers/view/harmony-gold-mining-company-limited-south-africa","Weak","2026-06-23","Medium",""
"Mining","Sibanye-Stillwater","AWS (Industrial Data Platform, Intelligent Core)","https://reports.sibanyestillwater.com/2024/download/SSW-CIR24-innovation-digital-technology.pdf","Direct","2026-06-23","High",""
"Mining","Sibanye-Stillwater","Digital Twin/LoM platform, DigiMine (Wits), Simulacrum (UJ), iXS startup fund","https://www.sibanyestillwater.com/innovation-technology","Direct","2026-06-23","High",""
"Mining","Sibanye-Stillwater","SAP, JDE, Coupa","https://www.casestudies.com/company/spinnaker-support/case-study/how-we-helped-them-lower-operating-costs-to-become-a-more-attractive-acquisition-target","Inferred","2026-06-23","High",""
"Mining","Sibanye-Stillwater","R87.8M digital spend","","Inferred","","High","Not found in verified sources"
"Mining","Kumba Iron Ore (Anglo American)","Azure (group standard), SAP BTP, Power Platform","https://customers.microsoft.com/en-us/story/1366859976904948124-passport-360-kumba-iron-ore-azure-south-africa","Direct","2026-06-23","Medium-High",""
"Mining","Kumba Iron Ore (Anglo American)","Oracle digital transformation (capital projects)","https://blogs.oracle.com/post/kumba-digital-transformation-south-africa","Direct","2026-06-23","Medium-High",""
"Mining","Kumba Iron Ore (Anglo American)",".NET, Python, SQL, SQL Server, SAP S/4HANA","https://www.angloamericankumba.com/~/media/Files/A/Anglo-American-Group-v9/Kumba/investors/annual-reporting/kumba-integrated-report-2024.pdf","Direct","2026-06-23","Medium-High",""
"Mining","Kumba Iron Ore (Anglo American)","RMSP (Python-based geostatistical), Surpac, GIS/CAD, UHDMS","https://www.angloamericankumba.com/~/media/Files/A/Anglo-American-Group-v9/Kumba/investors/annual-reporting/kumba-integrated-report-2024.pdf","Inferred","2026-06-23","Medium-High",""
"Mining","Thungela Resources","Oracle Cloud (OCI) for HFM","https://www.dsp.co.uk/thungela-hyperion-financial-management-on-oci-case-study","Direct","2026-06-23","Medium-High",""
"Mining","Thungela Resources","SAP, SAP Ariba","https://www.workiva.com/sites/workiva/files/pdfs/emea_thungela_case_study_r6.pdf","Direct","2026-06-23","Medium-High","SAP inferred"
"Mining","Thungela Resources","Node.js, Drupal, Prometheus, ApostropheCMS","https://leadiq.com/c/thungela-resources-limited/5ee1128b2300005c00b43e34","Weak","2026-06-23","Medium-High","Web-facing detection only"
"Mining","Thungela Resources","Oracle DB","","Inferred","","Medium-High",""
"Manufacturing","PPC Cement","Azure cloud, Azure Analysis Services, Azure Data Factory, Power BI","https://keyrus.com/za/en/playbook/powerful-cloud-based-bi-for-a-leader-in-building-material-industry","Direct","2026-06-23","High",""
"Manufacturing","PPC Cement","SAP BW, SAP ERP","https://keyrus.com/za/en/playbook/powerful-cloud-based-bi-for-a-leader-in-building-material-industry","Direct","2026-06-23","High",""
"Manufacturing","PPC Cement","VMware vSphere, SQL Server, Oracle, SCADA, Wonderware","","Inferred","","High","Industry norms"
"Manufacturing","ArcelorMittal SA","Azure Databricks, MLflow, Power BI","","Inferred","","Medium-High","URL not found"
"Manufacturing","ArcelorMittal SA",".NET (VB/ASP/Core/C#), Java, Python, Oracle, SQL Server, Unix","","Inferred","","Medium-High","URL not found"
"Manufacturing","ArcelorMittal SA","SAP, Oracle ERP","","Inferred","","Medium-High","URL not found"
"Manufacturing","AfriSam","SAP (PM, Payroll HR, IS), Power BI, ABB/Siemens PLC","","Weak","","Low-Medium","No source URLs found"
"Manufacturing","Sappi","GCP preferred (data platform, BigQuery)","https://za.trabajo.org/job-1945-24d00d9d6967b73c285ec830309819df","Inferred","2026-06-23","High",""
"Manufacturing","Sappi","Python, Ruby, C/C++, Java, Linux (RHEL)","","Inferred","","High","URL not independently verified"
"Manufacturing","Sappi","SAP S/4HANA, SAP Ariba, SuccessFactors","https://docs.broadcom.com/docs/clarity-sappi-cs","Direct","2026-06-23","High",""
"Manufacturing","Sappi","UiPath, ESRI, SCADA, Honeywell","","Inferred","","High",""
"Manufacturing","Mondi Group","IBM Cloud (backups), Red Hat OpenShift (trialing)","","Weak","","Medium-High","Kyndryl case study URL not found"
"Manufacturing","Mondi Group","SAP S/4HANA on IBM Power Systems + FlashSystem","","Weak","","Medium-High","Kyndryl case study URL not found"
"Manufacturing","Mondi Group","C#, .NET, SQL Server, VMware vSphere","","Inferred","","Medium-High",""
"Government","Department of Home Affairs (DHA)","Applying to separate from SITA; moving to AWS/Azure hybrid","","Inferred","","Medium-High","Specific article URLs not found"
"Government","Department of Home Affairs (DHA)","Microsoft 365 (Planner, Project, Power Platform, SharePoint/Teams)","","Inferred","","Medium-High",""
"Government","Department of Home Affairs (DHA)","Leggero DMAP, e-Home, Kiosks, Revenue Admin System","","Inferred","","Medium-High","URLs not independently confirmed"
"Government","National Health (NDoH)","Dynamics 365 CRM","","Inferred","","Medium-High","Mint Group case study URL not found"
"Government","National Health (NDoH)","DHIS2, OpenEMR (CSIR-built)","","Inferred","","Medium-High","URL not independently confirmed"
"Government","National Health (NDoH)","Apache Airflow (ETL), Health Information Exchange","","Weak","","Medium-High",""
"Government","Department of Basic Education (DBE)","OpenEMIS (UNESCO), migrating to cloud","","Inferred","","Medium","URL not independently confirmed"
"Government","Department of Basic Education (DBE)","SA-SAMS legacy Windows, modernizing to OpenEMIS web/cloud","","Inferred","","Medium",""
"Government","Department of Basic Education (DBE)","LURITS, NEIMS, FLIMS, BI, DDD","","Weak","","Medium",""
"Government","SAPO (SA Post Office)","Moving to cloud IaaS (TPMS hosted)","","Inferred","","Medium","URL not independently confirmed"
"Government","SAPO (SA Post Office)","SD-WAN modernization (647 sites), new data centre","","Inferred","","Medium",""
"Government","SAPO (SA Post Office)","Digital postal platform, Trust Centre (PKI/CA), TPMS, WIPS, POS systems","","Inferred","","Medium",""
